date_GMT,status,home_team_name,away_team_name,referee,home_team_goal_count,away_team_goal_count,total_goal_count,stadium_name
Feb 26 2019 - 7:45pm,complete,Leicester City,Brighton & Hove Albion,Lee Probert,2,1,3,King Power Stadium (Leicester- Leicestershire)
Feb 26 2019 - 8:00pm,complete,Newcastle United,Burnley,Craig Pawson,2,0,2,St. James' Park (Newcastle upon Tyne)
Feb 27 2019 - 7:45pm,complete,Arsenal,AFC Bournemouth,Chris Kavanagh,5,1,6,Emirates Stadium (London)
Feb 27 2019 - 7:45pm,complete,Southampton,Fulham,Anthony Taylor,2,0,2,St. Mary's Stadium (Southampton- Hampshire)
Feb 27 2019 - 8:00pm,complete,Crystal Palace,Manchester United,Martin Atkinson,1,3,4,Selhurst Park (London)
Feb 27 2019 - 8:00pm,complete,Chelsea,Tottenham Hotspur,Andre Marriner,2,0,2,Stamford Bridge (London)
Feb 27 2019 - 8:00pm,complete,Liverpool,Watford,Graham Scott,5,0,5,Anfield (Liverpool)
Feb 27 2019 - 8:00pm,complete,Manchester City,West Ham United,Stuart Attwell,1,0,1,Etihad Stadium (Manchester)
Mar 02 2019 - 12:30pm,complete,Tottenham Hotspur,Arsenal,Anthony Taylor,1,1,2,Wembley Stadium (London)
Mar 02 2019 - 3:00pm,complete,AFC Bournemouth,Manchester City,Kevin Friend,0,1,1,Vitality Stadium (Bournemouth- Dorset)
Mar 02 2019 - 3:00pm,complete,Brighton & Hove Albion,Huddersfield Town,Mike Dean,1,0,1,The American Express Community Stadium (Falmer- East Sussex)
Mar 02 2019 - 3:00pm,complete,Burnley,Crystal Palace,Lee Probert,1,3,4,Turf Moor (Burnley)
Mar 02 2019 - 3:00pm,complete,Manchester United,Southampton,Stuart Attwell,3,2,5,Old Trafford (Manchester)
Mar 02 2019 - 3:00pm,complete,Wolverhampton Wanderers,Cardiff City,Andre Marriner,2,0,2,Molineux Stadium (Wolverhampton- West Midlands)
Mar 02 2019 - 5:30pm,complete,West Ham United,Newcastle United,Chris Kavanagh,2,0,2,London Stadium (London)
Mar 03 2019 - 12:00pm,complete,Watford,Leicester City,Jonathan Moss,2,1,3,Vicarage Road (Watford)
Mar 03 2019 - 2:05pm,complete,Fulham,Chelsea,Graham Scott,1,2,3,Craven Cottage (London)
Mar 03 2019 - 4:15pm,complete,Everton,Liverpool,Martin Atkinson,0,0,0,Goodison Park (Liverpool)
Mar 09 2019 - 12:30pm,complete,Crystal Palace,Brighton & Hove Albion,Craig Pawson,1,2,3,Selhurst Park (London)
Mar 09 2019 - 3:00pm,complete,Cardiff City,West Ham United,Graham Scott,2,0,2,Cardiff City Stadium (Cardiff (Caerdydd))
Mar 09 2019 - 3:00pm,complete,Huddersfield Town,AFC Bournemouth,Anthony Taylor,0,2,2,John Smith's Stadium (Huddersfield- West Yorkshire)
Mar 09 2019 - 3:00pm,complete,Leicester City,Fulham,David Coote,3,1,4,King Power Stadium (Leicester- Leicestershire)
Mar 09 2019 - 3:00pm,complete,Newcastle United,Everton,Lee Mason,3,2,5,St. James' Park (Newcastle upon Tyne)
Mar 09 2019 - 3:00pm,complete,Southampton,Tottenham Hotspur,Kevin Friend,2,1,3,St. Mary's Stadium (Southampton- Hampshire)
